source_reference,name,counterparty_type,country_code,resident,attributes.segment
CUST-D-0001,Kofi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0002,Kwesi Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0003,Afia Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0004,Akosua Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0005,Efua Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0006,Ama Frimpong,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0007,Yaa Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0008,Akosua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0009,Adwoa Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0010,Abena Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0011,Yaa Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0012,Abena Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0013,Aba Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0014,Akua Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0015,Kwame Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0016,Aba Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0017,Efua Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0018,Kofi Yeboah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0019,Yaw Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0020,Akua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0021,Yaa Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0022,Kwesi Osei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0023,Yaw Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0024,Yaw Owusu,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0025,Kwabena Darko,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0026,Kwame Adjei,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0027,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0028,Kwesi Ofori,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0029,Esi Agyeman,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0030,Akua Boateng,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0031,Fiifi Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0032,Kwame Baffour,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0033,Yaa Dartey,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0034,Yaa Quaye,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0035,Akosua Asante,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0036,Adwoa Mensah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0037,Fiifi Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
CUST-D-0038,Akosua Appiah,RETAIL_INDIVIDUAL,GH,true,retail_individual
