# Sample Bank onboarding dataset — teller_withdrawals, reporting week ending 2026-06-30 (seven days 2026-06-24..2026-06-30; push with as_of_date=2026-06-30). One row per over-the-counter cash withdrawal; amounts in the account currency with the bank's cedi equivalent in amount_ghs.
txn_date,txn_reference,branch_code,branch,customer_reference,customer_name,account_reference,account_type,currency,amount,amount_ghs,channel,teller_id,txn_time,notes
2026-06-24,TLR-20260624-00001,BR002,Osu Oxford Street,CIF-300183,Grace Darko,002018302,savings,USD,5000.00,64700.02,teller,T4002,10:11,
2026-06-24,TLR-20260624-00002,BR002,Osu Oxford Street,CIF-300275,Mensah Fashions,002027501,current,GHS,120000.00,120000.00,teller,T9002,10:29,
2026-06-24,TLR-20260624-00003,BR002,Osu Oxford Street,CIF-300145,Ama Darko,002014502,savings,GHS,6350.00,6350.00,teller,T5002,12:00,
2026-06-24,TLR-20260624-00004,BR002,Osu Oxford Street,CIF-300317,Frimpong Farms,002031701,current,GHS,240500.00,240500.00,teller,T8002,14:44,
2026-06-24,TLR-20260624-00005,BR002,Osu Oxford Street,CIF-200222,Emmanuel Kwesi Arthur,002022202,savings,USD,42000.00,543480.17,teller,T4002,15:57,
2026-06-24,TLR-20260624-00006,BR003,Accra Mall,CIF-200215,Osei-Bonsu Estates,003021501,current,GHS,1210000.00,1210000.00,teller,T6003,09:14,
2026-06-24,TLR-20260624-00007,BR003,Accra Mall,CIF-300323,Opoku Stores,003032301,current,GHS,60000.00,60000.00,teller,T8003,09:53,
2026-06-24,TLR-20260624-00008,BR003,Accra Mall,CIF-300310,Gifty Yeboah,003031002,savings,GHS,3000.00,3000.00,teller,T4003,11:34,
2026-06-24,TLR-20260624-00009,BR004,Madina Market,CIF-300160,Agyeman Ventures,004016001,current,GHS,31200.00,31200.00,teller,T9004,09:13,
2026-06-24,TLR-20260624-00010,BR006,East Legon — Lagos Avenue,CIF-300093,Yaa Opoku,006009302,call,GHS,400000.00,400000.00,teller,T1006,10:43,
2026-06-24,TLR-20260624-00011,BR006,East Legon — Lagos Avenue,CIF-300250,Amoah Transport,006025001,current,GHS,121200.00,121200.00,teller,T7006,14:48,
2026-06-24,TLR-20260624-00012,BR006,East Legon — Lagos Avenue,CIF-300048,Ama Sulemana,006004801,current,GHS,520000.00,520000.00,teller,T9006,15:04,
2026-06-24,TLR-20260624-00013,BR007,Spintex Road,CIF-200419,Star Oil Retail (Spintex) Ltd,007041901,current,GHS,990000.00,990000.00,teller,T9007,13:48,
2026-06-24,TLR-20260624-00014,BR007,Spintex Road,CIF-300130,Sulemana Electricals,007013001,current,GHS,62500.00,62500.00,teller,T8007,13:59,
2026-06-24,TLR-20260624-00015,BR007,Spintex Road,CIF-300126,Abena Appiah,007012601,current,GHS,250000.00,250000.00,teller,T3007,14:00,
2026-06-24,TLR-20260624-00016,BR007,Spintex Road,CIF-300121,Yaa Owusu,007012102,savings,GHS,4050.00,4050.00,teller,T8007,14:24,
2026-06-24,TLR-20260624-00017,BR007,Spintex Road,CIF-300097,Akosua Darko,007009701,current,GHS,20350.00,20350.00,teller,T4007,16:35,
2026-06-24,TLR-20260624-00018,BR008,Tema Harbour,CIF-300152,Nana Boateng,008015202,savings,GHS,3500.00,3500.00,teller,T6008,08:06,
2026-06-24,TLR-20260624-00019,BR008,Tema Harbour,CIF-200233,Sankofa Fuel Distributors Ltd,008023301,current,GHS,1250000.00,1250000.00,teller,T3008,08:22,
2026-06-24,TLR-20260624-00020,BR008,Tema Harbour,CIF-300243,Adjei Hardware,008024301,current,GHS,181200.00,181200.00,teller,T7008,14:14,
